dag_id,task_id,task_type,dag_submit_ms,task_ready_ms,scheduled_ms,start_ms,finish_ms,tier,datacenter_id,vm_id,duration_ms,length_mi,proj_edge_sec,proj_cloud_sec,input_bytes,output_bytes,gpu_mem_mb,gpu_util,queue_wait_ms,net_propagation_ms,net_tx_ms,net_total_ms
dag_2e338acce5fd4403,lora_load_185c6f3d,lora_load,2982771,2982771.00,336958810.80,336958812.23,339501868.85,1,7,2,6357.63,2543051,2543.051,6.358,1242402086,124240208,2369.69,0.66,1.43,-1,-1,0.00
dag_30de0d820faf498b,lora_load_8c0eb05b,lora_load,2990259,2990259.00,339501868.85,339501870.27,342108177.88,1,7,2,6515.76,2606302,2606.302,6.516,924908118,92490811,1764.12,0.91,1.42,-1,-1,0.00
dag_f894b260774b4be6,vae_encode_eef387e6,vae_encode,2990496,2990496.00,342108177.88,342108179.30,342311797.91,1,8,4,509.03,203613,203.613,0.509,1017550303,101755030,1940.82,0.58,1.42,-1,-1,0.00
dag_889319abff524781,vae_encode_491df57e,vae_encode,2996175,2996175.00,342311797.91,342311799.33,342528910.95,1,13,14,542.77,217106,217.106,0.543,936222852,93622285,1785.70,0.66,1.42,-1,-1,0.00
dag_e3e2282858124e47,vae_encode_ad9e8222,vae_encode,2998773,2998773.00,342528910.95,342528912.37,342759949.98,1,10,8,577.58,231032,231.032,0.578,1189106987,118910698,2268.04,0.52,1.42,-1,-1,0.00
dag_4698ce0f127d4e6f,vae_encode_31cde503,vae_encode,3006665,3006665.00,342759949.98,342759951.41,342981354.03,1,9,6,553.49,221397,221.397,0.553,1069765530,106976553,2040.42,0.47,1.43,-1,-1,0.00
dag_94fdaddfaee24e61,vae_encode_eb1a0ec9,vae_encode,3008234,3008234.00,342981354.03,342981355.46,343085351.07,1,7,2,259.98,103990,103.990,0.260,930951741,93095174,1775.65,0.77,1.43,-1,-1,0.00
dag_8a0ae0b733174b36,lora_load_9f0e600e,lora_load,3008393,3008393.00,343085351.07,343085421.14,343086126.33,2,1000,16,631.00,252400,252.400,0.631,973545193,97354519,1856.89,0.81,70.07,-1,-1,0.00
dag_f8a114d8741048f7,vae_encode_4c294071,vae_encode,3021247,3021247.00,343086126.33,343086127.75,343206632.37,1,11,10,301.25,120499,120.499,0.301,1402840687,140284068,2675.71,0.83,1.43,-1,-1,0.00
dag_3ac7f79bcf7440c3,vae_encode_e5445f79,vae_encode,3021790,3021790.00,343206632.37,343206633.80,343380403.42,1,8,4,434.41,173764,173.764,0.434,736023705,73602370,1403.85,0.87,1.43,-1,-1,0.00
